run_id,agent,agent_toxicity,platform_name,action_type,value,time_period
run8,agent_0,0.345154,Toxic Model 1,toxicity overload,-1,0
run8,agent_0,0.345154,Toxic Model 2,toxicity overload,-1,0
run8,agent_0,0.345154,Toxic Model 3,toxicity overload,-1,0
run8,agent_0,0.345154,Toxic Model 4,toxicity overload,-1,0
run8,agent_1,0.352114,Toxic Model 1,toxicity overload,-1,0
run8,agent_1,0.352114,Toxic Model 2,toxicity overload,-1,0
run8,agent_1,0.352114,Toxic Model 3,toxicity overload,-1,0
run8,agent_1,0.352114,Toxic Model 4,toxicity overload,-1,0
run8,agent_2,0.00567196,Toxic Model 1,toxicity overload,-1,0
run8,agent_2,0.00567196,Toxic Model 2,toxicity overload,-1,0
run8,agent_2,0.00567196,Toxic Model 3,toxicity overload,-1,0
run8,agent_2,0.00567196,Toxic Model 4,toxicity overload,-1,0
run8,agent_3,0.240072,Toxic Model 1,toxicity overload,-1,0
run8,agent_3,0.240072,Toxic Model 2,toxicity overload,-1,0
run8,agent_3,0.240072,Toxic Model 3,toxicity overload,-1,0
run8,agent_3,0.240072,Toxic Model 4,toxicity overload,-1,0
run8,agent_4,0.905018,Toxic Model 1,toxicity overload,-1,0
run8,agent_4,0.905018,Toxic Model 2,toxicity overload,-1,0
run8,agent_4,0.905018,Toxic Model 3,toxicity overload,-1,0
run8,agent_4,0.905018,Toxic Model 4,toxicity overload,-1,0
run8,agent_5,0.212172,Toxic Model 1,toxicity overload,-1,0
run8,agent_5,0.212172,Toxic Model 2,toxicity overload,-1,0
run8,agent_5,0.212172,Toxic Model 3,toxicity overload,-1,0
run8,agent_5,0.212172,Toxic Model 4,toxicity overload,-1,0
run8,agent_6,0.0778648,Toxic Model 1,toxicity overload,-1,0
run8,agent_6,0.0778648,Toxic Model 2,toxicity overload,-1,0
run8,agent_6,0.0778648,Toxic Model 3,toxicity overload,-1,0
run8,agent_6,0.0778648,Toxic Model 4,toxicity overload,-1,0
run8,agent_7,0.00969241,Toxic Model 1,toxicity overload,-1,0
run8,agent_7,0.00969241,Toxic Model 2,toxicity overload,-1,0
run8,agent_7,0.00969241,Toxic Model 3,toxicity overload,-1,0
run8,agent_7,0.00969241,Toxic Model 4,toxicity overload,-1,0
run8,agent_8,0.821175,Toxic Model 1,toxicity overload,-1,0
run8,agent_8,0.821175,Toxic Model 2,toxicity overload,-1,0
run8,agent_8,0.821175,Toxic Model 3,toxicity overload,-1,0
run8,agent_8,0.821175,Toxic Model 4,toxicity overload,-1,0
run8,agent_9,0.712817,Toxic Model 1,toxicity overload,-1,0
run8,agent_9,0.712817,Toxic Model 2,toxicity overload,-1,0
run8,agent_9,0.712817,Toxic Model 3,toxicity overload,-1,0
run8,agent_9,0.712817,Toxic Model 4,toxicity overload,-1,0
run8,agent_10,0.628033,Toxic Model 1,toxicity overload,-1,0
run8,agent_10,0.628033,Toxic Model 2,toxicity overload,-1,0
run8,agent_10,0.628033,Toxic Model 3,toxicity overload,-1,0
run8,agent_10,0.628033,Toxic Model 4,toxicity overload,-1,0
run8,agent_11,0.596228,Toxic Model 1,toxicity overload,-1,0
run8,agent_11,0.596228,Toxic Model 2,toxicity overload,-1,0
run8,agent_11,0.596228,Toxic Model 3,toxicity overload,-1,0
run8,agent_11,0.596228,Toxic Model 4,toxicity overload,-1,0
run8,agent_12,0.476353,Toxic Model 1,toxicity overload,-1,0
run8,agent_12,0.476353,Toxic Model 2,toxicity overload,-1,0
run8,agent_12,0.476353,Toxic Model 3,toxicity overload,-1,0
run8,agent_12,0.476353,Toxic Model 4,toxicity overload,-1,0
run8,agent_13,0.524537,Toxic Model 1,toxicity overload,-1,0
run8,agent_13,0.524537,Toxic Model 2,toxicity overload,-1,0
run8,agent_13,0.524537,Toxic Model 3,toxicity overload,-1,0
run8,agent_13,0.524537,Toxic Model 4,toxicity overload,-1,0
run8,agent_14,0.381069,Toxic Model 1,toxicity overload,-1,0
run8,agent_14,0.381069,Toxic Model 2,toxicity overload,-1,0
run8,agent_14,0.381069,Toxic Model 3,toxicity overload,-1,0
run8,agent_14,0.381069,Toxic Model 4,toxicity overload,-1,0
run8,agent_15,0.0750378,Toxic Model 1,toxicity overload,-1,0
run8,agent_15,0.0750378,Toxic Model 2,toxicity overload,-1,0
run8,agent_15,0.0750378,Toxic Model 3,toxicity overload,-1,0
run8,agent_15,0.0750378,Toxic Model 4,toxicity overload,-1,0
run8,agent_16,0.310293,Toxic Model 1,toxicity overload,-1,0
run8,agent_16,0.310293,Toxic Model 2,toxicity overload,-1,0
run8,agent_16,0.310293,Toxic Model 3,toxicity overload,-1,0
run8,agent_16,0.310293,Toxic Model 4,toxicity overload,-1,0
run8,agent_17,0.925825,Toxic Model 1,toxicity overload,-1,0
run8,agent_17,0.925825,Toxic Model 2,toxicity overload,-1,0
run8,agent_17,0.925825,Toxic Model 3,toxicity overload,-1,0
run8,agent_17,0.925825,Toxic Model 4,toxicity overload,-1,0
run8,agent_18,0.314265,Toxic Model 1,toxicity overload,-1,0
run8,agent_18,0.314265,Toxic Model 2,toxicity overload,-1,0
run8,agent_18,0.314265,Toxic Model 3,toxicity overload,-1,0
run8,agent_18,0.314265,Toxic Model 4,toxicity overload,-1,0
run8,agent_19,0.743183,Toxic Model 1,toxicity overload,-1,0
run8,agent_19,0.743183,Toxic Model 2,toxicity overload,-1,0
run8,agent_19,0.743183,Toxic Model 3,toxicity overload,-1,0
